epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6063268780708313,0.6794489622116089,0.01,0.7832167744636536,0.6353718638420105
1,0.8207381367683411,0.6173858046531677,0.01,0.867132842540741,0.5757128596305847
2,0.885764479637146,0.5644515752792358,0.01,0.9160839319229126,0.5241872668266296
3,0.9050966501235962,0.5180981159210205,0.01,0.9230769276618958,0.47909584641456604
4,0.9244288206100464,0.477021723985672,0.01,0.9300699234008789,0.4387912452220917
5,0.9297012090682983,0.44006502628326416,0.01,0.9370629191398621,0.4026958644390106
6,0.9332161545753479,0.40706056356430054,0.01,0.9370629191398621,0.37084072828292847
7,0.9332161545753479,0.37752076983451843,0.01,0.9440559148788452,0.3425871431827545
8,0.9384886026382446,0.3511136770248413,0.01,0.9440559148788452,0.3176462948322296
9,0.9384886026382446,0.3277323544025421,0.01,0.9510489702224731,0.2954716682434082
10,0.9367311000823975,0.306848406791687,0.01,0.9510489702224731,0.2759005129337311
11,0.9349736571311951,0.2882181406021118,0.01,0.9510489702224731,0.25854599475860596
12,0.9384886026382446,0.2717159390449524,0.01,0.9580419659614563,0.24319785833358765
13,0.9384886026382446,0.25699588656425476,0.01,0.9650349617004395,0.22963380813598633
14,0.9420034885406494,0.24384859204292297,0.01,0.9650349617004395,0.21750961244106293
15,0.940246045589447,0.232033371925354,0.01,0.9650349617004395,0.20668336749076843
16,0.9420034885406494,0.22145643830299377,0.01,0.9650349617004395,0.19690072536468506
17,0.9420034885406494,0.2118871659040451,0.01,0.9650349617004395,0.1881168931722641
18,0.9437609910964966,0.20313994586467743,0.01,0.9650349617004395,0.18010012805461884
19,0.9437609910964966,0.19513680040836334,0.01,0.9650349617004395,0.1729375123977661
20,0.9490333795547485,0.18779946863651276,0.01,0.9650349617004395,0.16624437272548676
21,0.9507908821105957,0.18110774457454681,0.01,0.9650349617004395,0.16010621190071106
22,0.9560632705688477,0.17485609650611877,0.01,0.9650349617004395,0.15446601808071136
23,0.9560632705688477,0.16906173527240753,0.01,0.9650349617004395,0.1492353230714798
24,0.95782071352005,0.1636568307876587,0.01,0.9650349617004395,0.14441396296024323
25,0.95782071352005,0.15860986709594727,0.01,0.9650349617004395,0.14005111157894135
26,0.95782071352005,0.15394385159015656,0.01,0.9790209531784058,0.13589127361774445
27,0.9595782160758972,0.14957274496555328,0.01,0.9860140085220337,0.13208237290382385
28,0.9595782160758972,0.1454356461763382,0.01,0.9860140085220337,0.12852878868579865
29,0.9613356590270996,0.14150893688201904,0.01,0.9930070042610168,0.12505944073200226
30,0.9630931615829468,0.1377396434545517,0.01,0.9930070042610168,0.12175258249044418
31,0.9613356590270996,0.13424958288669586,0.01,0.9930070042610168,0.11866744607686996
32,0.9613356590270996,0.13091044127941132,0.01,0.9930070042610168,0.1157815009355545
33,0.9648506045341492,0.12776215374469757,0.01,0.9930070042610168,0.11299054324626923
34,0.9648506045341492,0.12476640194654465,0.01,0.9930070042610168,0.11036710441112518
35,0.9648506045341492,0.12184730172157288,0.01,1.0,0.10784070193767548
36,0.9683655500411987,0.11912766098976135,0.01,1.0,0.10545727610588074
37,0.9683655500411987,0.116435706615448,0.01,1.0,0.10313227027654648
38,0.9683655500411987,0.11395160108804703,0.01,1.0,0.10090937465429306
39,0.9683655500411987,0.11145629733800888,0.01,1.0,0.09891842305660248
40,0.9683655500411987,0.10918501764535904,0.01,1.0,0.09690975397825241
41,0.9701230525970459,0.10692796111106873,0.01,1.0,0.09501524269580841
42,0.9718804955482483,0.10472669452428818,0.01,1.0,0.0932307243347168
43,0.9718804955482483,0.10265757888555527,0.01,1.0,0.09145024418830872
44,0.9718804955482483,0.10062586516141891,0.01,1.0,0.08969727903604507
45,0.9736379384994507,0.0987437292933464,0.01,1.0,0.08808834850788116
46,0.9736379384994507,0.09692935645580292,0.01,1.0,0.08660434186458588
47,0.9771528840065002,0.09507697075605392,0.01,1.0,0.08512790501117706
48,0.9771528840065002,0.09330171346664429,0.01,1.0,0.0836484283208847
49,0.9771528840065002,0.09168031066656113,0.01,1.0,0.0821741446852684
50,0.9806678295135498,0.09005358815193176,0.01,1.0,0.08082624524831772
51,0.9806678295135498,0.08846595138311386,0.01,1.0,0.0795123279094696
